,sig_e,sig_s,sig_u,sig_eps,rho,tau1,tau2,r,seed,sp1.A,sp2.A,sp1.B,sp2.B,sp1.a0,sp2.a0,sp1.b0,sp2.b0,sp1.n0,sp2.n0,sp1.kar,sp2.kar,sp1.Gaa,sp2.Gaa,sp1.Gbb,sp2.Gbb,sp1.grow,sp2.grow,sp1.plast,sp2.plast,runid,sp1.a,sp2.a,sp1.b,sp2.b,sp1.n,sp2.n,sp1.z,sp2.z,sp1.astd,sp2.astd,sp1.bstd,sp2.bstd,sp1.nstd,sp2.nstd,sp1.zstd,sp2.zstd,dela,delb,delz,delastd,delzstd,delbstd,delzprime,delzstdprime,delaprime,delastdprime
run_00000000,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.01,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,0,9.840359098025782,0.6864397564548794,1.1792751240476047,1.7217415920986738,42063.31019283566,47643.4280257758,9.819165851782543,0.6463669897492061,0.046234192971546045,0.019123728972635368,0.022700737619478523,0.0038190779316377944,1989.25053076518,2207.907576046807,1.6864466739904693,2.4242750783959575,9.153919341570836,0.5424664680510664,9.17279886203334,0.047206121476673676,2.0887338448469817,0.01935294973236616,9.17279886203334,2.0887338448469817,9.153919341570836,0.047206121476673676
run_00000001,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.02,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,1,9.828588583517316,0.6477230422827939,1.197613182414985,1.6151886387792156,42691.10404905502,47058.48779018038,9.84143709735766,0.6744732040801578,0.03527758842274566,0.01852075940540724,0.01681400565575204,0.006004898620592952,2082.0733676258374,2187.0307562047515,1.693532601070588,2.3018334390788646,9.180865541234507,0.4175754563642263,9.166963893277503,0.044257867109493754,1.9002557806971256,0.012663693075117095,9.166963893277503,1.9002557806971256,9.180865541234507,0.044257867109493754
run_00000002,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.03,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,2,9.760002943636433,0.6244248935531714,1.1727211606965453,1.5295655938310813,42983.03365370353,46692.912628341146,9.787048960577737,0.624783766038557,0.040973832050810406,0.030478332690864616,0.005971429281610265,0.005823568827164594,2245.702069106627,2303.448155939701,1.6338344084996541,2.151010505140779,9.135578050083284,0.35684443313453285,9.162265194539179,0.04098505362427187,1.7416329083036433,0.006473797952968204,9.162265194539179,1.7416329083036433,9.135578050083284,0.04098505362427187
run_00000003,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.04,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,3,9.767297488042432,0.6175868582267185,1.236665195546743,1.5089021543364622,43277.94720915427,46244.70826304636,9.762024236709573,0.6140562270458736,0.03158721591996699,0.02112161667732094,0.011973887173922965,0.005668414895833433,2166.534258650947,2266.7696069129115,1.7474278323258712,2.1425757035590145,9.149710629815738,0.2722369587897242,9.1479680096637,0.035276199864556566,1.634622826152408,0.008856082368794668,9.1479680096637,1.634622826152408,9.149710629815738,0.035276199864556566
run_00000004,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.05,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,4,9.677626628830277,0.5351916313717744,1.2444739769929243,1.452358074293786,43640.71727432147,45982.95148696872,9.70204594387484,0.5629279244114718,0.028426968787269455,0.021286809532765485,0.013713297175998201,0.008696107486502248,2215.19060521844,2228.006502815252,1.747382850675586,2.053973354270511,9.142434997458572,0.20788409730086138,9.139118019463368,0.028205935774232523,1.4736456756538039,0.009092047441379956,9.139118019463368,1.4736456756538039,9.142434997458572,0.028205935774232523
run_00000005,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.060000000000000005,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,5,9.653634517188104,0.5250628260734606,1.266765477417267,1.4331107090260207,43907.594363063705,45683.02432270297,9.628480032819443,0.5010098059571897,0.05021033666241014,0.028659096568004912,0.007071070891134605,0.0063271412607595725,2277.8011097455837,2345.681083452007,1.7937017174295902,2.0230922511538685,9.128571691114619,0.16634523160875758,9.127470226862254,0.04210325298435284,1.3434486061688373,0.006592792364355989,9.127470226862254,1.3434486061688373,9.128571691114619,0.04210325298435284
run_00000006,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.06999999999999999,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,6,9.558822799575799,0.45628703710402,1.3184374194715471,1.412569175873937,44047.09666736478,45434.48970920883,9.544608222511867,0.42606198794175876,0.054100622810243644,0.03653195692792134,0.014566527626308761,0.007210864926656219,2329.7353808412886,2313.7498397893205,1.8821983832322573,2.0372861071148494,9.102535762471787,0.09413175640239396,9.118546234570108,0.035797789638007345,1.1895291009074185,0.009423991265541755,9.118546234570108,1.1895291009074185,9.102535762471787,0.035797789638007345
run_00000007,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.08,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,7,9.63725049052126,0.5010537348900104,1.3756415028021547,1.4447669786673376,44405.97821816421,45292.47153681739,9.625979195455534,0.5169933623226888,0.025810941365492997,0.03144865976474262,0.008569572762288091,0.007126906211712541,2303.5009885233603,2269.8942828951035,1.9513216365961235,2.0428098706691795,9.136196755631284,0.0691254758651716,9.108985833132843,0.025108036342007572,1.0207614364595903,0.004812601287574007,9.108985833132843,1.0207614364595903,9.136196755631284,0.025108036342007572
run_00000008,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.09,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,8,9.596737083040571,0.5001817018244826,1.3970604622168405,1.4329542183453816,44771.53075721735,45191.17363136072,9.565777943307733,0.4642430744527422,0.032719356581555274,0.03583652864058371,0.007507890266572015,0.00970163643157937,2395.6640199284666,2406.2382023095106,1.9490667963142427,1.99967025302084,9.09655538121615,0.03589375612853721,9.101534868854992,0.015687367205370197,0.7325882417024113,0.006788609312065739,9.101534868854992,0.7325882417024113,9.09655538121615,0.015687367205370197
run_00000009,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.09999999999999999,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,9,9.526185557865995,0.43530564928533794,1.4815178630374393,1.4816072003048721,45083.87569565628,45246.15088110172,9.49553781888775,0.40465070817917054,0.06981809101443254,0.07055106570460036,0.009114659063290481,0.009470913707552491,2422.0034051620405,2408.8024187463748,2.087797392099647,2.088116223325393,9.09087990858065,8.933726743441809e-05,9.090887110708579,0.0080202422025697,0.00805836215996017,0.0005054943011282822,9.090887110708579,0.00805836215996017,9.09087990858065,0.0080202422025697
run_00000010,0.7071067811865476,31.622776601683793,3.1622776601683795,1.4142135623730951,0.5,0.1,0.11,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,10,9.504886887476296,0.4170616655315705,1.3524267703457278,1.3221414734770855,45007.953053205114,44642.61690357169,9.462106994676809,0.37321754637532073,0.038408772714636816,0.05012908264236863,0.012797893651567891,0.008195312180612124,2341.4909284496325,2406.496144904024,1.9070293824233777,1.8605112053844406,9.087825221944765,0.030285296868646984,9.088889448301487,0.027621523174172477,0.6923841116457741,0.006452318586781409,9.088889448301487,0.6923841116457741,9.087825221944765,0.027621523174172477
