,sig_e,sig_s,sig_u,sig_eps,rho,tau1,tau2,r,seed,sp1.A,sp2.A,sp1.B,sp2.B,sp1.a0,sp2.a0,sp1.b0,sp2.b0,sp1.n0,sp2.n0,sp1.kar,sp2.kar,sp1.Gaa,sp2.Gaa,sp1.Gbb,sp2.Gbb,sp1.grow,sp2.grow,sp1.plast,sp2.plast,runid,sp1.a,sp2.a,sp1.b,sp2.b,sp1.n,sp2.n,sp1.z,sp2.z,sp1.astd,sp2.astd,sp1.bstd,sp2.bstd,sp1.nstd,sp2.nstd,sp1.zstd,sp2.zstd,dela,delb,delz,delastd,delzstd,delbstd,delzprime,delzstdprime,delaprime,delastdprime
run_00000000,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.01,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,0,5.120489565561533,4.949544891030076,1.3494485140103716,3.121846600145266,16528.233654873522,51319.78097895735,5.0903568371189944,4.877380617288282,0.09557027972423714,0.05190003835272739,0.03584310746120329,0.016360858145892516,3141.7233425327254,2366.69822606812,4.259900012572183,9.82809701267614,0.17094467453144818,1.772398086134891,0.21297621983071155,0.13213815696796546,8.365360759522034,0.02954113784836094,6.65685736318536,5.0705886791741746,0.19992845815816965,0.081921827958429
run_00000001,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.02,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,1,5.164490409368576,4.845153263499483,1.3711310006150519,2.9779744072886367,16960.566777352386,47122.274300845194,5.111211359499137,4.815996004965229,0.13213301497621294,0.050554491867807506,0.0420244147326937,0.014241406876699352,3444.9935318750877,3074.459337268795,4.34906430197344,9.445500366048437,0.3193371458691104,1.6068434066735853,0.2952153545339082,0.15791439496605078,7.793717091482223,0.03663279819817711,6.210698032671782,4.717669780154346,0.3193371458691104,0.15791439496605078
run_00000002,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.03,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,2,5.095501281083269,5.036152772919892,1.263934639043575,2.894365952627522,18516.678716515984,42951.00517760749,5.085470009638221,4.980444826970315,0.1159654166988944,0.07171059507255621,0.04310959788885502,0.025233786018024004,3906.632468132211,3495.753401041893,3.994646200718781,9.056724414684696,0.059348508163370825,1.6304313135839397,0.10502518266790505,0.07321437664642713,7.3109958936447486,0.03745699630635315,5.855036879508456,4.379524447412147,0.0792815065890288,0.05096109380612208
run_00000003,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.04,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,3,4.9312402937183215,4.932850326534205,1.2087043010518326,2.7528337475018674,19473.831254870947,39654.191839911866,4.957867030219502,5.0991590509207,0.08477199154910191,0.13001147664637136,0.03911440020814919,0.01699460438385754,3663.508582005986,3821.555903106633,3.8507906826016938,8.766042400914557,0.0016100328159076016,1.5441294464500281,0.14129202070119845,0.08753213148490312,6.814487014163791,0.039497888997214355,5.435394469830916,4.112624911009057,0.07709603144997053,0.04148093758130139
run_00000004,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.05,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,4,5.0233396131243975,5.035344637488834,1.1134106507489503,2.673772277840663,20225.283802917664,36399.60634850233,5.025819596437832,5.101913083760464,0.11653958115916507,0.06642188762270887,0.033417292999852626,0.022359702195244892,4146.126338029829,4182.033462090445,3.5625833332252723,8.520174157368666,0.012005024364418526,1.5603616270917107,0.07609348732263273,0.12959639458146802,6.482009698637119,0.021876023073729392,5.176402194877685,3.9021917263128034,0.1080403903919413,0.07257148298376409
run_00000005,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.060000000000000005,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,5,5.172704168567253,4.851755228777025,1.0411312035160019,2.596793006104916,20930.015581114734,32775.267553805934,5.173746047651068,4.813414345213864,0.12431716503632823,0.10775262980678198,0.03207399197924159,0.01639229828692728,3950.4633882723506,4354.683038012325,3.28977982607239,8.221675961740917,0.3209489397902407,1.555661802588906,0.3603317024372064,0.08618643164127229,6.111187064436788,0.027697050267073507,4.882319300866019,3.6931564435739723,0.3209489397902407,0.08618643164127229
run_00000006,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.06999999999999999,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,6,9.439808403905745,2.158512089350385,1.4834623295992255,1.7309835981346908,23001.66614462427,34105.489682494146,9.42910147883319,2.1470857706838284,0.07277723753500503,0.07151070758661573,0.05480979076768657,0.053209436511246974,4920.584155790029,4827.899733218826,4.64234820894692,5.435903649384718,7.281296314555334,0.24752126853546472,7.28201570814936,0.0490457997545782,3.1791185690103134,0.01735288219725311,7.304032572086668,3.128203291900516,7.281296314555334,0.0490457997545782
run_00000007,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.08,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,7,9.19627881604475,1.5445963210194322,1.4675989861247187,1.5859479724183756,25708.689451414702,31880.260737086184,9.200798623565024,1.5579320371866174,0.08512420592093972,0.08062584273867832,0.02713628842349169,0.030570139116783242,5405.3922937531615,5227.681426503225,4.654654490754402,5.040720596509334,7.651682495025339,0.1183489862936572,7.642866586378408,0.05224475588133956,2.509245971183402,0.016416045372141832,7.645118118227229,2.5023776612320963,7.651682495025339,0.05224475588133956
run_00000008,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.09,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,8,9.181078741147806,1.215253747837742,1.4586962280524378,1.499759075634237,28737.119488486358,30919.886447501005,9.25543507562238,1.3315523282669945,0.07150436817167331,0.06107512938974925,0.048137985180730515,0.04650347827282065,5124.926419485831,5408.949901296231,4.625997563610109,4.763667739223063,7.965824993310099,0.041062847581799,7.9238827473553854,0.05819711437686343,1.7161573070537053,0.012265182725600034,7.9238827473553854,1.7161573070537053,7.965824993310099,0.05819711437686343
run_00000009,0.7071067811865476,31.622776601683793,3.1622776601683795,3.1622776601683795,0.5,0.1,0.09999999999999999,0.1,0,5.0,5.0,3.0,3.0,5.3,4.7,2.5,2.51,30000.0,30000.0,60000.0,60000.0,0.5,0.5,0.045,0.045,1,1,1,1,9,8.97666199644378,1.0119405411026625,1.5244120976372981,1.5218081711341216,29373.170004213705,29523.64303034904,8.981079781859634,1.0165864334175498,0.08616271247447305,0.07362743876496307,0.026672161045253384,0.025468225299353726,5393.037449591691,5550.131103155571,4.834716781435294,4.8226487882726605,7.964721455341135,0.0026039265031740965,7.964493348442085,0.10084956476294404,0.10202825851213553,0.0034737531393504765,7.964493348442085,0.10202825851213553,7.964721455341135,0.10084956476294404
